thickness,x1,y1,z1,x2,y2,z2
2.224744871391589,10.0,4.0,1.0,11.0,3.0,2.0
3.4610880329096947,31.0,50.0,7.0,32.0,51.0,7.0
3.2169892001050897,8.0,86.0,9.0,7.0,87.0,9.0
3.072525957550795,65.0,86.0,21.0,66.0,87.0,21.0
3.302775637731995,58.0,85.0,43.0,58.0,84.0,44.0
2.914213562373095,7.0,75.0,51.0,7.0,76.0,51.0
3.6736043311189652,15.0,9.0,69.0,16.0,10.0,69.0
3.0,74.0,78.0,77.0,75.0,79.0,77.0
2.618033988749895,30.0,53.0,88.0,29.0,54.0,89.0
1.0,81.0,99.0,99.0,82.0,99.0,99.0
2.8284271247461903,54.0,21.0,5.0,53.0,22.0,5.0
3.58113883008419,7.0,36.0,9.0,8.0,35.0,8.0
3.802775637731995,65.0,37.0,12.0,66.0,36.0,12.0
3.5,65.0,37.0,12.0,64.0,38.0,13.0
3.932381506195801,11.0,72.0,7.0,11.0,73.0,8.0
2.224744871391589,11.0,3.0,2.0,10.0,4.0,1.0
2.6389584337646843,7.0,20.0,5.0,8.0,19.0,6.0
3.2169892001050897,66.0,22.0,5.0,67.0,23.0,5.0
3.5348264453008715,66.0,22.0,5.0,65.0,22.0,6.0
2.995352392457285,6.0,48.0,6.0,7.0,49.0,7.0
3.0,27.0,78.0,9.0,26.0,77.0,9.0
2.883057266569289,59.0,83.0,8.0,59.0,84.0,9.0
4.123105625617661,49.0,96.0,10.0,50.0,95.0,11.0
2.53224755112299,85.0,96.0,11.0,85.0,97.0,12.0
4.35284066028675,7.0,95.0,13.0,7.0,95.0,12.0
3.8643284505408246,96.0,6.0,14.0,95.0,5.0,14.0
2.8284271247461903,34.0,20.0,4.0,33.0,20.0,5.0
2.914213562373095,33.0,5.0,9.0,32.0,6.0,10.0
3.4610880329096947,13.0,20.0,2.0,14.0,21.0,2.0
3.4610880329096947,14.0,21.0,2.0,13.0,20.0,2.0
2.6389584337646843,8.0,19.0,6.0,7.0,20.0,5.0
2.6389584337646843,75.0,24.0,4.0,76.0,23.0,5.0
3.3839144678161843,81.0,37.0,12.0,82.0,37.0,13.0
3.8643284505408246,81.0,37.0,12.0,80.0,36.0,13.0
3.2169892001050897,7.0,87.0,9.0,8.0,86.0,9.0
4.050278165157308,39.0,96.0,11.0,40.0,95.0,12.0
3.4610880329096947,45.0,20.0,4.0,44.0,20.0,5.0
3.1583123951777,44.0,7.0,8.0,44.0,6.0,9.0
2.8284271247461903,53.0,22.0,5.0,54.0,21.0,5.0
3.4610880329096947,44.0,20.0,5.0,45.0,20.0,4.0
2.8284271247461903,33.0,20.0,5.0,34.0,20.0,4.0
3.2169892001050897,67.0,23.0,5.0,66.0,22.0,5.0
2.6389584337646843,76.0,23.0,5.0,75.0,24.0,4.0
2.224744871391589,43.0,14.0,10.0,43.0,13.0,11.0
3.5348264453008715,65.0,22.0,6.0,66.0,22.0,5.0
3.8643284505408246,91.0,35.0,13.0,92.0,36.0,13.0
3.5615528128088303,41.0,52.0,9.0,42.0,51.0,8.0
3.802775637731995,8.0,14.0,12.0,9.0,13.0,12.0
3.4519675234711604,18.0,38.0,10.0,19.0,37.0,11.0
2.995352392457285,7.0,49.0,7.0,6.0,48.0,6.0
3.4610880329096947,32.0,51.0,7.0,31.0,50.0,7.0
3.5615528128088303,42.0,51.0,8.0,41.0,52.0,9.0
2.8284271247461903,18.0,4.0,11.0,19.0,5.0,11.0
3.58113883008419,8.0,35.0,8.0,7.0,36.0,9.0
3.3839144678161843,71.0,51.0,9.0,72.0,52.0,9.0
3.4610880329096947,89.0,68.0,10.0,88.0,67.0,11.0
2.883057266569289,89.0,68.0,10.0,90.0,69.0,9.0
3.4610880329096947,88.0,67.0,11.0,89.0,68.0,10.0
3.932381506195801,11.0,73.0,8.0,11.0,72.0,7.0
2.224744871391589,95.0,97.0,13.0,96.0,96.0,14.0
3.802775637731995,9.0,13.0,12.0,8.0,14.0,12.0
2.224744871391589,43.0,13.0,11.0,43.0,14.0,10.0
2.724744871391589,43.0,13.0,11.0,43.0,13.0,12.0
3.1583123951777,44.0,6.0,9.0,44.0,7.0,8.0
3.072525957550795,33.0,64.0,10.0,34.0,65.0,9.0
3.072525957550795,34.0,65.0,9.0,33.0,64.0,10.0
2.883057266569289,90.0,69.0,9.0,89.0,68.0,10.0
3.1583123951777,39.0,85.0,10.0,38.0,86.0,10.0
2.883057266569289,59.0,84.0,9.0,59.0,83.0,8.0
2.8284271247461903,19.0,5.0,11.0,18.0,4.0,11.0
2.914213562373095,32.0,6.0,10.0,33.0,5.0,9.0
3.0275205091235833,18.0,25.0,13.0,17.0,26.0,14.0
3.4519675234711604,19.0,37.0,11.0,18.0,38.0,10.0
3.6736043311189652,53.0,49.0,18.0,52.0,48.0,19.0
3.302775637731995,53.0,49.0,18.0,54.0,50.0,19.0
3.23945122526189,74.0,39.0,13.0,75.0,40.0,14.0
3.3839144678161843,72.0,52.0,9.0,71.0,51.0,9.0
3.0,26.0,77.0,9.0,27.0,78.0,9.0
1.9840593925343335,74.0,88.0,13.0,73.0,88.0,12.0
3.1583123951777,38.0,86.0,10.0,39.0,85.0,10.0
4.050278165157308,40.0,95.0,12.0,39.0,96.0,11.0
3.605551275463989,32.0,13.0,12.0,33.0,13.0,13.0
2.914213562373095,56.0,13.0,14.0,55.0,14.0,14.0
3.23945122526189,41.0,27.0,15.0,41.0,26.0,15.0
3.072525957550795,42.0,38.0,11.0,41.0,39.0,12.0
3.072525957550795,41.0,39.0,12.0,42.0,38.0,11.0
3.23945122526189,42.0,49.0,19.0,43.0,50.0,20.0
3.072525957550795,65.0,64.0,17.0,66.0,63.0,18.0
3.4610880329096947,28.0,86.0,11.0,29.0,87.0,12.0
3.605551275463989,51.0,86.0,11.0,51.0,87.0,11.0
2.6389584337646843,98.0,78.0,14.0,97.0,77.0,13.0
3.072525957550795,30.0,86.0,13.0,29.0,87.0,12.0
3.3708286933869704,86.0,88.0,12.0,86.0,89.0,13.0
1.9840593925343335,73.0,88.0,12.0,74.0,88.0,13.0
3.3131896376530667,87.0,6.0,11.0,87.0,7.0,12.0
3.23945122526189,19.0,12.0,12.0,20.0,13.0,13.0
3.3131896376530667,87.0,7.0,12.0,87.0,6.0,11.0
1.5,62.0,10.0,14.0,62.0,10.0,15.0
2.724744871391589,43.0,13.0,12.0,43.0,13.0,11.0
1.3660254037844386,30.0,32.0,13.0,30.0,33.0,12.0
3.802775637731995,66.0,36.0,12.0,65.0,37.0,12.0
3.932381506195801,18.0,34.0,18.0,17.0,33.0,19.0
1.3660254037844386,30.0,33.0,12.0,30.0,32.0,13.0
4.123105625617661,51.0,37.0,13.0,51.0,38.0,14.0
3.3839144678161843,82.0,37.0,13.0,81.0,37.0,12.0
3.3131896376530667,87.0,65.0,18.0,87.0,64.0,19.0
3.5,19.0,84.0,20.0,20.0,84.0,21.0
3.4610880329096947,29.0,87.0,12.0,28.0,86.0,11.0
3.072525957550795,29.0,87.0,12.0,30.0,86.0,13.0
3.605551275463989,51.0,87.0,11.0,51.0,86.0,11.0
4.123105625617661,50.0,95.0,11.0,49.0,96.0,10.0
