thickness,x1,y1,z1,x2,y2,z2
3.5291410885646703,79.0,67.0,2.0,78.0,68.0,2.0
5.692582403567252,13.0,46.0,6.0,12.0,47.0,6.0
4.949489742783178,94.0,81.0,21.0,94.0,82.0,21.0
6.535533905932738,60.0,25.0,81.0,59.0,24.0,82.0
4.47213595499958,51.0,33.0,3.0,50.0,34.0,3.0
3.5291410885646703,78.0,68.0,2.0,79.0,67.0,2.0
3.8643284505408246,9.0,11.0,10.0,10.0,10.0,11.0
3.0,18.0,22.0,2.0,19.0,23.0,3.0
3.0,19.0,23.0,3.0,18.0,22.0,2.0
3.58113883008419,40.0,56.0,11.0,39.0,55.0,12.0
5.873515838972459,37.0,19.0,10.0,38.0,20.0,11.0
3.232050807568877,59.0,27.0,10.0,60.0,28.0,9.0
4.73606797749979,10.0,31.0,5.0,11.0,30.0,6.0
3.232050807568877,60.0,28.0,9.0,59.0,27.0,10.0
4.47213595499958,50.0,34.0,3.0,51.0,33.0,3.0
4.121320343559642,36.0,42.0,3.0,35.0,43.0,3.0
4.121320343559642,35.0,43.0,3.0,36.0,42.0,3.0
5.692582403567252,12.0,47.0,6.0,13.0,46.0,6.0
5.700708448015204,35.0,42.0,10.0,36.0,41.0,11.0
4.611062569605222,57.0,59.0,11.0,58.0,58.0,11.0
4.628939214553515,66.0,73.0,8.0,67.0,73.0,8.0
4.628939214553515,67.0,73.0,8.0,66.0,73.0,8.0
4.73606797749979,11.0,30.0,6.0,10.0,31.0,5.0
4.300769815329979,81.0,85.0,8.0,80.0,84.0,9.0
3.802775637731995,79.0,97.0,20.0,78.0,97.0,20.0
5.521009528313442,74.0,53.0,13.0,73.0,54.0,13.0
4.611062569605222,58.0,58.0,11.0,57.0,59.0,11.0
5.238612787525831,41.0,88.0,11.0,42.0,87.0,12.0
5.0990195135927845,14.0,9.0,12.0,13.0,8.0,13.0
4.561552812808831,6.0,26.0,16.0,6.0,25.0,17.0
5.507549648346201,22.0,55.0,14.0,22.0,54.0,15.0
4.0,83.0,65.0,10.0,83.0,65.0,11.0
4.300769815329979,80.0,84.0,9.0,81.0,85.0,8.0
3.8643284505408246,10.0,10.0,11.0,9.0,11.0,10.0
5.5,4.0,5.0,26.0,5.0,4.0,27.0
5.521009528313442,73.0,54.0,13.0,74.0,53.0,13.0
4.470737319248257,96.0,64.0,17.0,96.0,65.0,17.0
4.241002284579167,96.0,64.0,17.0,95.0,63.0,18.0
5.608058350989902,3.0,67.0,12.0,4.0,66.0,13.0
5.238612787525831,42.0,87.0,12.0,41.0,88.0,11.0
5.873515838972459,38.0,20.0,11.0,37.0,19.0,10.0
5.564863726836267,79.0,14.0,14.0,79.0,13.0,14.0
4.740777590261098,27.0,34.0,12.0,28.0,34.0,12.0
5.507549648346201,22.0,54.0,15.0,22.0,55.0,14.0
6.040246893034296,22.0,54.0,15.0,21.0,55.0,16.0
5.700708448015204,36.0,41.0,11.0,35.0,42.0,10.0
4.0,83.0,65.0,11.0,83.0,65.0,10.0
5.0990195135927845,13.0,8.0,13.0,14.0,9.0,12.0
4.740777590261098,28.0,34.0,12.0,27.0,34.0,12.0
3.58113883008419,39.0,55.0,12.0,40.0,56.0,11.0
5.0990195135927845,52.0,63.0,17.0,53.0,63.0,16.0
5.0990195135927845,53.0,63.0,16.0,52.0,63.0,17.0
5.4311951910930825,65.0,86.0,16.0,66.0,86.0,16.0
5.820819789010319,11.0,38.0,22.0,11.0,39.0,23.0
6.155846296626581,60.0,39.0,21.0,61.0,38.0,21.0
5.188102530309008,18.0,58.0,16.0,18.0,57.0,17.0
5.608058350989902,4.0,66.0,13.0,3.0,67.0,12.0
4.406760692720545,15.0,22.0,19.0,14.0,22.0,20.0
4.7912878474779195,68.0,33.0,15.0,68.0,32.0,15.0
2.724744871391589,80.0,51.0,21.0,81.0,52.0,22.0
5.4311951910930825,66.0,86.0,16.0,65.0,86.0,16.0
3.802775637731995,78.0,97.0,20.0,79.0,97.0,20.0
5.564863726836267,79.0,13.0,14.0,79.0,14.0,14.0
4.242640687119285,80.0,24.0,24.0,81.0,24.0,25.0
4.7912878474779195,68.0,32.0,15.0,68.0,33.0,15.0
6.155846296626581,61.0,38.0,21.0,60.0,39.0,21.0
5.507549648346201,40.0,46.0,21.0,40.0,47.0,22.0
6.040246893034296,21.0,55.0,16.0,22.0,54.0,15.0
4.561552812808831,6.0,25.0,17.0,6.0,26.0,16.0
5.188102530309008,18.0,57.0,17.0,18.0,58.0,16.0
5.564863726836267,64.0,51.0,24.0,65.0,50.0,25.0
3.605551275463989,54.0,57.0,26.0,54.0,56.0,27.0
4.99899949957957,57.0,91.0,25.0,56.0,90.0,25.0
4.406760692720545,14.0,22.0,20.0,15.0,22.0,19.0
2.6389584337646843,14.0,53.0,23.0,15.0,52.0,23.0
4.470737319248257,96.0,65.0,17.0,96.0,64.0,17.0
4.241002284579167,95.0,63.0,18.0,96.0,64.0,17.0
4.898979485566356,17.0,85.0,24.0,16.0,85.0,24.0
2.724744871391589,81.0,52.0,22.0,80.0,51.0,21.0
4.527355824977709,50.0,74.0,25.0,50.0,75.0,25.0
4.949489742783178,94.0,82.0,21.0,94.0,81.0,21.0
5.049509756796392,33.0,65.0,26.0,32.0,64.0,26.0
5.507549648346201,40.0,47.0,22.0,40.0,46.0,21.0
3.9240959812916367,97.0,73.0,33.0,97.0,72.0,34.0
4.242640687119285,81.0,24.0,25.0,80.0,24.0,24.0
5.820819789010319,11.0,39.0,23.0,11.0,38.0,22.0
3.1622776601683795,69.0,69.0,24.0,69.0,70.0,24.0
2.6389584337646843,15.0,52.0,23.0,14.0,53.0,23.0
3.1622776601683795,69.0,70.0,24.0,69.0,69.0,24.0
3.3839144678161843,60.0,67.0,31.0,60.0,66.0,32.0
4.898979485566356,16.0,85.0,24.0,17.0,85.0,24.0
4.7912878474779195,51.0,76.0,24.0,50.0,75.0,25.0
5.91547594742265,12.0,94.0,31.0,12.0,93.0,30.0
3.605551275463989,54.0,56.0,27.0,54.0,57.0,26.0
5.564863726836267,65.0,50.0,25.0,64.0,51.0,24.0
5.192582403567252,65.0,50.0,25.0,66.0,49.0,26.0
4.511042555592008,94.0,53.0,33.0,93.0,54.0,33.0
5.049509756796392,32.0,64.0,26.0,33.0,65.0,26.0
4.527355824977709,50.0,75.0,25.0,50.0,74.0,25.0
4.7912878474779195,50.0,75.0,25.0,51.0,76.0,24.0
5.91547594742265,12.0,93.0,30.0,12.0,94.0,31.0
4.99899949957957,56.0,90.0,25.0,57.0,91.0,25.0
5.192582403567252,66.0,49.0,26.0,65.0,50.0,25.0
5.0,10.0,53.0,26.0,11.0,52.0,26.0
3.0,54.0,72.0,34.0,55.0,72.0,34.0
5.5,5.0,4.0,27.0,4.0,5.0,26.0
5.0,11.0,52.0,26.0,10.0,53.0,26.0
3.3839144678161843,60.0,66.0,32.0,60.0,67.0,31.0
