node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
8,35.0,2.0,0.0,1.0
70,56.0,18.0,0.0,1.0
72,2.0,37.0,0.0,1.0
76,63.0,40.0,0.0,1.0
77,72.0,40.0,0.0,1.0
79,30.0,59.0,0.0,1.0
87,42.0,69.0,0.0,1.0
88,0.0,71.0,0.0,1.0
89,12.0,71.0,0.0,1.0
90,23.0,71.0,0.0,1.0
91,56.0,71.0,0.0,1.0
102,42.0,83.0,0.0,3.0
137,72.0,98.0,0.0,1.0
141,88.0,1.0,1.0,1.0
145,56.0,2.0,1.0,1.0
148,68.0,3.0,1.0,1.0
150,10.0,4.0,1.0,3.0
165,1.0,9.0,1.0,3.0
184,67.0,20.0,1.0,1.0
207,13.0,37.0,1.0,1.0
208,39.0,38.0,1.0,1.0
209,51.0,39.0,1.0,1.0
211,4.0,46.0,1.0,1.0
212,41.0,48.0,1.0,1.0
214,55.0,60.0,1.0,1.0
216,90.0,63.0,1.0,1.0
221,69.0,73.0,1.0,1.0
234,30.0,82.0,1.0,3.0
249,53.0,85.0,1.0,3.0
284,85.0,94.0,1.0,1.0
286,62.0,95.0,1.0,3.0
291,0.0,97.0,1.0,1.0
292,24.0,97.0,1.0,3.0
299,98.0,3.0,2.0,1.0
304,44.0,5.0,2.0,1.0
333,26.0,37.0,2.0,1.0
346,34.0,71.0,2.0,1.0
350,92.0,74.0,2.0,1.0
368,7.0,88.0,2.0,3.0
447,87.0,84.0,3.0,1.0
727,7.0,61.0,6.0,3.0
729,18.0,61.0,6.0,3.0
832,31.0,50.0,7.0,3.0
843,53.0,51.0,7.0,3.0
850,68.0,52.0,7.0,3.0
940,95.0,96.0,7.0,3.0
1337,8.0,86.0,9.0,4.0
1592,71.0,96.0,10.0,3.0
1607,86.0,3.0,11.0,1.0
2717,95.0,13.0,17.0,3.0
3603,65.0,86.0,21.0,3.0
3834,49.0,2.0,23.0,1.0
4773,50.0,69.0,28.0,3.0
5311,99.0,0.0,32.0,1.0
5621,68.0,4.0,34.0,1.0
7466,58.0,85.0,43.0,3.0
8106,8.0,11.0,47.0,3.0
8501,8.0,95.0,48.0,3.0
9088,7.0,75.0,51.0,4.0
10218,18.0,2.0,59.0,1.0
10404,5.0,2.0,60.0,1.0
10405,30.0,2.0,60.0,1.0
10575,43.0,2.0,61.0,1.0
11398,86.0,53.0,65.0,3.0
11419,93.0,72.0,65.0,3.0
11972,15.0,9.0,69.0,4.0
12391,41.0,2.0,72.0,1.0
13447,74.0,78.0,77.0,3.0
14901,41.0,2.0,86.0,1.0
