node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
3,99.0,1.0,0.0,1.0
58,31.0,27.0,0.0,3.0
76,79.0,33.0,0.0,3.0
77,90.0,33.0,0.0,3.0
81,67.0,34.0,0.0,3.0
102,22.0,37.0,0.0,1.0
103,0.0,38.0,0.0,1.0
163,31.0,75.0,0.0,3.0
164,21.0,76.0,0.0,3.0
201,93.0,85.0,0.0,3.0
224,63.0,88.0,0.0,3.0
239,85.0,97.0,0.0,3.0
241,61.0,98.0,0.0,1.0
274,50.0,11.0,1.0,3.0
283,61.0,12.0,1.0,3.0
285,83.0,12.0,1.0,3.0
288,39.0,13.0,1.0,3.0
291,71.0,13.0,1.0,3.0
294,95.0,13.0,1.0,3.0
296,17.0,14.0,1.0,4.0
448,8.0,36.0,1.0,1.0
464,97.0,37.0,1.0,1.0
518,49.0,48.0,1.0,3.0
522,3.0,49.0,1.0,3.0
526,37.0,49.0,1.0,3.0
529,71.0,49.0,1.0,3.0
530,81.0,49.0,1.0,3.0
533,25.0,50.0,1.0,3.0
586,61.0,56.0,1.0,3.0
660,42.0,75.0,1.0,3.0
789,93.0,57.0,2.0,3.0
813,97.0,59.0,2.0,1.0
841,56.0,75.0,2.0,3.0
842,79.0,75.0,2.0,3.0
848,7.0,78.0,2.0,3.0
862,71.0,98.0,2.0,1.0
879,4.0,6.0,3.0,3.0
1011,27.0,5.0,4.0,3.0
1116,16.0,97.0,4.0,3.0
1251,29.0,97.0,5.0,3.0
2914,69.0,52.0,14.0,3.0
4070,27.0,10.0,21.0,3.0
5666,74.0,52.0,29.0,3.0
6363,71.0,16.0,33.0,4.0
8850,14.0,33.0,46.0,1.0
9531,69.0,28.0,50.0,3.0
9807,48.0,47.0,51.0,3.0
10329,92.0,7.0,54.0,3.0
10871,27.0,84.0,57.0,4.0
10991,32.0,60.0,58.0,3.0
11339,7.0,3.0,60.0,4.0
11461,83.0,60.0,60.0,3.0
11738,13.0,94.0,61.0,3.0
14746,21.0,19.0,78.0,3.0
15595,15.0,35.0,83.0,3.0
17250,74.0,73.0,91.0,3.0
18733,71.0,0.0,99.0,1.0
751,32.0,37.0,2.0,3.0
753,82.0,37.0,2.0,3.0
743,90.0,26.0,2.0,3.0
442,57.0,35.0,1.0,3.0
748,70.0,36.0,2.0,4.0
1316,1.0,44.0,6.0,4.0
635,34.0,72.0,1.0,3.0
1536,32.0,86.0,7.0,4.0
1353,16.0,73.0,6.0,3.0
839,28.0,75.0,2.0,3.0
1243,20.0,87.0,5.0,3.0
847,92.0,76.0,2.0,3.0
856,87.0,87.0,2.0,4.0
689,97.0,88.0,1.0,3.0
1533,54.0,85.0,7.0,3.0
1556,63.0,94.0,7.0,3.0
686,86.0,87.0,1.0,3.0
1576,81.0,98.0,7.0,3.0
871,49.0,4.0,3.0,3.0
321,41.0,15.0,1.0,3.0
718,52.0,14.0,2.0,3.0
322,53.0,15.0,1.0,3.0
1145,60.0,3.0,5.0,3.0
1285,81.0,5.0,6.0,3.0
340,75.0,16.0,1.0,3.0
1002,37.0,4.0,4.0,3.0
716,28.0,14.0,2.0,3.0
717,40.0,14.0,2.0,3.0
1157,70.0,4.0,5.0,3.0
720,74.0,15.0,2.0,3.0
339,65.0,16.0,1.0,3.0
698,93.0,4.0,2.0,3.0
341,88.0,16.0,1.0,3.0
721,97.0,15.0,2.0,3.0
877,15.0,5.0,3.0,3.0
320,27.0,15.0,1.0,3.0
409,16.0,27.0,1.0,3.0
1803,14.0,15.0,9.0,3.0
391,28.0,25.0,1.0,3.0
393,41.0,25.0,1.0,3.0
382,55.0,23.0,1.0,3.0
719,63.0,14.0,2.0,3.0
724,65.0,23.0,2.0,3.0
378,75.0,22.0,1.0,3.0
736,89.0,25.0,2.0,3.0
714,83.0,13.0,2.0,4.0
742,80.0,26.0,2.0,3.0
738,36.0,26.0,2.0,3.0
413,44.0,27.0,1.0,3.0
737,26.0,26.0,2.0,3.0
1622,14.0,28.0,8.0,4.0
739,47.0,26.0,2.0,3.0
458,46.0,37.0,1.0,3.0
733,57.0,25.0,2.0,3.0
747,57.0,36.0,2.0,4.0
757,48.0,46.0,2.0,4.0
2139,47.0,39.0,10.0,4.0
755,95.0,38.0,2.0,3.0
781,49.0,56.0,2.0,3.0
762,48.0,47.0,2.0,4.0
532,12.0,50.0,1.0,3.0
1317,1.0,45.0,6.0,3.0
592,37.0,57.0,1.0,3.0
765,62.0,47.0,2.0,4.0
796,70.0,58.0,2.0,3.0
931,84.0,47.0,3.0,3.0
565,12.0,54.0,1.0,3.0
767,14.0,48.0,2.0,3.0
761,27.0,47.0,2.0,3.0
584,25.0,56.0,1.0,3.0
581,3.0,56.0,1.0,3.0
780,13.0,56.0,2.0,3.0
1212,1.0,59.0,5.0,3.0
624,33.0,62.0,1.0,3.0
784,24.0,57.0,2.0,3.0
764,61.0,47.0,2.0,4.0
952,69.0,59.0,3.0,3.0
951,47.0,59.0,3.0,4.0
785,36.0,57.0,2.0,4.0
818,33.0,68.0,2.0,3.0
1537,42.0,86.0,7.0,3.0
840,40.0,75.0,2.0,3.0
849,78.0,84.0,2.0,3.0
864,93.0,98.0,2.0,3.0
2650,95.0,87.0,12.0,3.0
1279,93.0,3.0,6.0,3.0
2019,39.0,14.0,10.0,3.0
2023,52.0,14.0,10.0,3.0
2024,62.0,14.0,10.0,3.0
2028,74.0,15.0,10.0,4.0
1301,96.0,25.0,6.0,3.0
898,97.0,14.0,3.0,3.0
