node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
2,12.0,3.0,0.0,3.0
41,29.0,16.0,0.0,3.0
180,52.0,3.0,1.0,3.0
183,65.0,3.0,1.0,3.0
185,77.0,3.0,1.0,3.0
187,2.0,4.0,1.0,3.0
188,25.0,4.0,1.0,3.0
248,52.0,12.0,1.0,3.0
254,65.0,13.0,1.0,3.0
263,77.0,14.0,1.0,3.0
293,95.0,17.0,1.0,3.0
318,59.0,31.0,1.0,3.0
319,70.0,31.0,1.0,3.0
333,91.0,32.0,1.0,3.0
334,48.0,33.0,1.0,3.0
349,34.0,37.0,1.0,3.0
363,61.0,40.0,1.0,3.0
371,78.0,40.0,1.0,3.0
399,98.0,43.0,1.0,1.0
417,68.0,53.0,1.0,1.0
428,7.0,58.0,1.0,3.0
444,7.0,68.0,1.0,3.0
479,5.0,82.0,1.0,3.0
652,65.0,76.0,2.0,3.0
654,77.0,76.0,2.0,3.0
655,88.0,76.0,2.0,3.0
658,51.0,77.0,2.0,3.0
668,40.0,78.0,2.0,3.0
708,17.0,96.0,2.0,3.0
790,10.0,43.0,3.0,3.0
812,25.0,54.0,3.0,3.0
850,42.0,66.0,3.0,3.0
1013,67.0,64.0,4.0,3.0
1068,89.0,95.0,4.0,3.0
1074,96.0,95.0,4.0,3.0
1114,20.0,26.0,5.0,3.0
1300,30.0,45.0,6.0,3.0
1460,9.0,26.0,7.0,3.0
1878,44.0,3.0,10.0,1.0
2073,28.0,12.0,11.0,3.0
2353,21.0,65.0,12.0,3.0
3287,58.0,2.0,18.0,1.0
3780,96.0,28.0,21.0,4.0
4045,98.0,77.0,22.0,1.0
4127,57.0,13.0,23.0,3.0
4575,93.0,52.0,25.0,1.0
5995,44.0,97.0,33.0,1.0
5996,55.0,97.0,33.0,1.0
6001,33.0,1.0,34.0,1.0
6144,29.0,60.0,34.0,3.0
6592,50.0,55.0,36.0,3.0
6855,61.0,88.0,37.0,1.0
7106,87.0,56.0,39.0,3.0
7702,36.0,2.0,43.0,1.0
7838,11.0,68.0,43.0,4.0
9306,14.0,4.0,52.0,4.0
9479,49.0,3.0,53.0,4.0
9504,7.0,15.0,53.0,1.0
11214,86.0,64.0,61.0,3.0
11885,66.0,2.0,67.0,3.0
12211,18.0,52.0,68.0,3.0
12935,88.0,51.0,71.0,3.0
13681,30.0,2.0,76.0,1.0
14077,8.0,94.0,78.0,3.0
14349,37.0,52.0,80.0,3.0
15079,62.0,52.0,83.0,3.0
16401,43.0,35.0,91.0,4.0
16585,54.0,34.0,92.0,3.0
234,12.0,10.0,1.0,3.0
269,40.0,15.0,1.0,3.0
1269,31.0,24.0,6.0,4.0
189,40.0,4.0,1.0,3.0
739,56.0,1.0,3.0,3.0
530,83.0,2.0,2.0,3.0
526,72.0,1.0,2.0,3.0
518,7.0,1.0,2.0,3.0
527,19.0,2.0,2.0,3.0
539,26.0,10.0,2.0,3.0
520,31.0,1.0,2.0,3.0
1264,18.0,23.0,6.0,3.0
1909,9.0,11.0,10.0,4.0
257,41.0,14.0,1.0,3.0
535,52.0,6.0,2.0,3.0
270,54.0,15.0,1.0,3.0
536,64.0,8.0,2.0,3.0
