node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
4,74.0,5.0,0.0,1.0
8,74.0,8.0,0.0,1.0
35,94.0,25.0,0.0,3.0
38,72.0,26.0,0.0,1.0
70,93.0,42.0,0.0,1.0
95,33.0,59.0,0.0,3.0
128,73.0,72.0,0.0,1.0
180,74.0,80.0,0.0,1.0
197,82.0,3.0,1.0,1.0
212,17.0,13.0,1.0,3.0
216,82.0,13.0,1.0,3.0
220,46.0,14.0,1.0,3.0
233,54.0,25.0,1.0,3.0
240,78.0,26.0,1.0,3.0
270,30.0,36.0,1.0,3.0
275,63.0,46.0,1.0,1.0
292,20.0,59.0,1.0,3.0
333,27.0,68.0,1.0,3.0
357,19.0,74.0,1.0,3.0
400,44.0,99.0,1.0,1.0
404,98.0,1.0,2.0,1.0
420,44.0,4.0,2.0,3.0
421,65.0,4.0,2.0,3.0
425,55.0,5.0,2.0,3.0
444,92.0,13.0,2.0,4.0
495,10.0,35.0,2.0,3.0
522,43.0,58.0,2.0,3.0
555,50.0,69.0,2.0,3.0
556,61.0,69.0,2.0,3.0
557,85.0,69.0,2.0,3.0
558,95.0,69.0,2.0,3.0
567,7.0,83.0,2.0,3.0
637,5.0,9.0,3.0,4.0
725,41.0,48.0,3.0,3.0
737,73.0,55.0,3.0,4.0
758,4.0,66.0,3.0,3.0
829,26.0,10.0,4.0,3.0
871,42.0,34.0,4.0,3.0
972,62.0,85.0,4.0,3.0
997,92.0,89.0,4.0,3.0
1094,17.0,48.0,5.0,3.0
1406,0.0,27.0,7.0,1.0
3021,58.0,56.0,14.0,3.0
3817,68.0,15.0,18.0,3.0
3831,87.0,16.0,18.0,3.0
4920,55.0,66.0,23.0,3.0
6871,57.0,1.0,34.0,1.0
8187,88.0,60.0,39.0,3.0
9105,38.0,27.0,45.0,3.0
9598,25.0,76.0,47.0,3.0
9913,42.0,97.0,48.0,1.0
11502,36.0,73.0,57.0,3.0
11551,19.0,3.0,58.0,1.0
12230,83.0,25.0,61.0,3.0
13030,41.0,14.0,65.0,3.0
13759,93.0,14.0,69.0,3.0
14873,56.0,2.0,75.0,1.0
15016,97.0,71.0,75.0,3.0
16840,2.0,44.0,85.0,3.0
17035,8.0,43.0,86.0,3.0
17830,52.0,2.0,90.0,1.0
18402,93.0,5.0,93.0,3.0
18950,42.0,21.0,96.0,3.0
19293,20.0,65.0,97.0,4.0
439,75.0,12.0,2.0,4.0
457,95.0,17.0,2.0,3.0
468,88.0,25.0,2.0,3.0
692,97.0,28.0,3.0,3.0
462,68.0,24.0,2.0,3.0
318,31.0,65.0,1.0,3.0
552,73.0,68.0,2.0,3.0
781,73.0,84.0,3.0,3.0
613,82.0,2.0,3.0,3.0
1196,14.0,4.0,6.0,3.0
675,16.0,18.0,3.0,3.0
226,37.0,15.0,1.0,3.0
1387,48.0,19.0,7.0,3.0
1385,37.0,18.0,7.0,3.0
1227,58.0,19.0,6.0,3.0
872,52.0,34.0,4.0,4.0
894,73.0,35.0,4.0,3.0
698,21.0,33.0,3.0,4.0
714,30.0,46.0,3.0,3.0
700,32.0,34.0,3.0,4.0
1086,63.0,46.0,5.0,4.0
745,30.0,57.0,3.0,3.0
554,38.0,69.0,2.0,4.0
545,28.0,67.0,2.0,3.0
537,20.0,63.0,2.0,3.0
561,28.0,73.0,2.0,3.0
576,20.0,84.0,2.0,3.0
1343,42.0,99.0,6.0,3.0
607,43.0,2.0,3.0,3.0
638,44.0,9.0,3.0,3.0
602,70.0,1.0,3.0,3.0
814,61.0,2.0,4.0,3.0
608,52.0,2.0,3.0,3.0
639,55.0,9.0,3.0,3.0
665,69.0,16.0,3.0,3.0
666,78.0,16.0,3.0,3.0
1755,76.0,9.0,9.0,3.0
810,91.0,1.0,4.0,3.0
668,87.0,16.0,3.0,3.0
653,93.0,13.0,3.0,3.0
1588,96.0,20.0,8.0,3.0
1229,67.0,20.0,6.0,4.0
482,84.0,31.0,2.0,3.0
1259,83.0,37.0,6.0,4.0
716,7.0,47.0,3.0,3.0
1415,11.0,37.0,7.0,3.0
763,38.0,68.0,3.0,3.0
757,18.0,65.0,3.0,3.0
1488,28.0,67.0,7.0,3.0
2088,74.0,70.0,10.0,3.0
780,40.0,84.0,3.0,3.0
968,51.0,84.0,4.0,4.0
740,53.0,56.0,3.0,3.0
1858,50.0,69.0,9.0,3.0
562,60.0,73.0,2.0,3.0
1681,60.0,69.0,8.0,3.0
749,85.0,57.0,3.0,4.0
1864,83.0,70.0,9.0,3.0
1164,94.0,86.0,5.0,3.0
941,95.0,59.0,4.0,3.0
578,31.0,84.0,2.0,3.0
1687,26.0,71.0,8.0,3.0
1154,62.0,84.0,5.0,3.0
783,5.0,85.0,3.0,3.0
784,17.0,85.0,3.0,3.0
1150,24.0,84.0,5.0,3.0
580,32.0,85.0,2.0,3.0
592,29.0,92.0,2.0,3.0
1156,36.0,86.0,5.0,3.0
1340,29.0,98.0,6.0,3.0
1523,25.0,95.0,7.0,3.0
2168,70.0,2.0,11.0,3.0
617,34.0,3.0,3.0,3.0
1931,41.0,2.0,10.0,3.0
2167,50.0,2.0,11.0,3.0
2170,78.0,2.0,11.0,3.0
1195,84.0,3.0,6.0,3.0
823,35.0,9.0,4.0,3.0
1930,32.0,2.0,10.0,3.0
678,6.0,19.0,3.0,4.0
1937,4.0,3.0,10.0,3.0
827,5.0,10.0,4.0,3.0
1367,44.0,9.0,7.0,3.0
1043,57.0,18.0,5.0,3.0
1569,55.0,10.0,8.0,3.0
1756,93.0,9.0,9.0,3.0
822,65.0,8.0,4.0,3.0
1230,68.0,20.0,6.0,4.0
1050,78.0,21.0,5.0,3.0
858,87.0,22.0,4.0,3.0
1240,7.0,26.0,6.0,3.0
1219,11.0,17.0,6.0,3.0
1069,95.0,35.0,5.0,3.0
1597,97.0,22.0,8.0,3.0
1048,18.0,21.0,5.0,3.0
865,20.0,33.0,4.0,3.0
868,32.0,34.0,4.0,3.0
907,31.0,47.0,4.0,3.0
724,6.0,48.0,3.0,3.0
2501,2.0,45.0,12.0,3.0
736,40.0,55.0,3.0,3.0
1464,49.0,45.0,7.0,4.0
936,41.0,57.0,4.0,3.0
1124,67.0,57.0,5.0,4.0
1100,75.0,49.0,5.0,3.0
938,75.0,57.0,4.0,3.0
931,53.0,55.0,4.0,3.0
1472,86.0,47.0,7.0,3.0
1287,90.0,56.0,6.0,3.0
943,17.0,65.0,4.0,3.0
927,5.0,54.0,4.0,3.0
761,7.0,67.0,3.0,3.0
1679,1.0,69.0,8.0,3.0
944,8.0,66.0,4.0,3.0
1856,38.0,69.0,9.0,4.0
969,37.0,85.0,4.0,3.0
973,72.0,85.0,4.0,3.0
1163,82.0,86.0,5.0,4.0
1336,3.0,97.0,6.0,3.0
1317,3.0,84.0,6.0,3.0
1525,14.0,96.0,7.0,4.0
1311,14.0,83.0,6.0,4.0
1357,85.0,2.0,7.0,3.0
1358,94.0,2.0,7.0,3.0
1754,65.0,9.0,9.0,3.0
1370,34.0,10.0,7.0,3.0
1218,3.0,14.0,6.0,3.0
1020,6.0,9.0,5.0,3.0
1042,26.0,18.0,5.0,3.0
1746,32.0,8.0,9.0,3.0
1023,25.0,9.0,5.0,3.0
1600,87.0,23.0,8.0,3.0
1061,41.0,35.0,5.0,4.0
2017,42.0,27.0,10.0,3.0
1062,52.0,35.0,5.0,5.0
893,62.0,35.0,4.0,3.0
1250,64.0,36.0,6.0,3.0
1410,65.0,35.0,7.0,3.0
1412,75.0,36.0,7.0,3.0
1266,38.0,45.0,6.0,3.0
1120,29.0,55.0,5.0,3.0
1096,53.0,48.0,5.0,3.0
2521,54.0,57.0,12.0,3.0
2525,42.0,58.0,12.0,3.0
1670,79.0,58.0,8.0,3.0
1483,91.0,57.0,7.0,3.0
1134,14.0,67.0,5.0,3.0
1840,6.0,58.0,9.0,4.0
1171,48.0,88.0,5.0,3.0
2351,49.0,80.0,11.0,3.0
2349,37.0,79.0,11.0,3.0
1166,60.0,87.0,5.0,3.0
990,69.0,87.0,4.0,3.0
2586,72.0,81.0,12.0,3.0
2362,70.0,92.0,11.0,3.0
2622,96.0,97.0,12.0,4.0
1543,22.0,1.0,8.0,3.0
1757,23.0,10.0,9.0,3.0
1391,29.0,20.0,7.0,3.0
1775,51.0,19.0,9.0,3.0
1231,19.0,21.0,6.0,3.0
1232,77.0,21.0,6.0,3.0
2268,43.0,28.0,11.0,4.0
1436,39.0,40.0,7.0,3.0
1243,52.0,35.0,6.0,3.0
1420,94.0,37.0,7.0,4.0
