node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
8,26.0,3.0,0.0,3.0
15,60.0,4.0,0.0,3.0
33,6.0,11.0,0.0,3.0
51,4.0,27.0,0.0,3.0
64,41.0,28.0,0.0,3.0
68,4.0,30.0,0.0,3.0
134,0.0,59.0,0.0,1.0
145,89.0,67.0,0.0,3.0
225,8.0,89.0,0.0,3.0
247,42.0,98.0,0.0,1.0
248,58.0,98.0,0.0,1.0
286,76.0,9.0,1.0,3.0
295,47.0,11.0,1.0,1.0
314,17.0,22.0,1.0,1.0
320,79.0,25.0,1.0,3.0
321,16.0,26.0,1.0,1.0
328,31.0,28.0,1.0,3.0
333,21.0,29.0,1.0,3.0
383,91.0,55.0,1.0,4.0
388,62.0,62.0,1.0,1.0
412,98.0,73.0,1.0,3.0
426,18.0,80.0,1.0,3.0
431,53.0,82.0,1.0,3.0
440,35.0,85.0,1.0,3.0
452,50.0,90.0,1.0,3.0
468,75.0,95.0,1.0,3.0
476,90.0,98.0,1.0,1.0
526,19.0,14.0,2.0,3.0
580,15.0,31.0,2.0,3.0
604,54.0,38.0,2.0,3.0
632,99.0,53.0,2.0,3.0
714,77.0,91.0,2.0,3.0
782,12.0,18.0,3.0,1.0
799,38.0,21.0,3.0,3.0
816,60.0,25.0,3.0,3.0
860,70.0,38.0,3.0,3.0
874,56.0,41.0,3.0,3.0
890,70.0,47.0,3.0,3.0
901,68.0,52.0,3.0,1.0
925,55.0,62.0,3.0,3.0
953,17.0,72.0,3.0,4.0
955,42.0,72.0,3.0,3.0
984,77.0,79.0,3.0,3.0
1002,68.0,84.0,3.0,3.0
1009,17.0,87.0,3.0,3.0
1112,91.0,22.0,4.0,3.0
1217,24.0,53.0,4.0,3.0
1236,80.0,60.0,4.0,1.0
1248,16.0,65.0,4.0,3.0
1274,7.0,73.0,4.0,3.0
1298,27.0,82.0,4.0,3.0
1364,18.0,96.0,4.0,3.0
1426,90.0,19.0,5.0,3.0
1462,97.0,28.0,5.0,3.0
1758,54.0,21.0,6.0,3.0
2005,73.0,2.0,7.0,1.0
2523,4.0,66.0,8.0,3.0
3113,75.0,80.0,10.0,3.0
3434,0.0,99.0,11.0,1.0
3503,93.0,21.0,12.0,3.0
3692,66.0,88.0,12.0,3.0
3964,8.0,90.0,13.0,4.0
4146,63.0,52.0,14.0,3.0
4177,67.0,63.0,14.0,3.0
4617,39.0,17.0,16.0,3.0
4660,11.0,34.0,16.0,3.0
4884,19.0,32.0,17.0,7.0
5104,22.0,30.0,18.0,6.0
5199,75.0,75.0,18.0,3.0
5250,68.0,91.0,18.0,3.0
5262,36.0,93.0,18.0,3.0
5266,90.0,93.0,18.0,3.0
5346,70.0,25.0,19.0,1.0
5371,4.0,34.0,19.0,3.0
5416,81.0,48.0,19.0,3.0
5748,13.0,69.0,20.0,3.0
5764,29.0,76.0,20.0,1.0
6142,1.0,2.0,22.0,1.0
6370,90.0,2.0,23.0,1.0
6718,62.0,32.0,24.0,1.0
7039,40.0,74.0,25.0,3.0
7218,62.0,49.0,26.0,1.0
7330,50.0,90.0,26.0,3.0
7772,18.0,64.0,28.0,3.0
7975,92.0,58.0,29.0,3.0
8139,0.0,32.0,30.0,1.0
8310,49.0,5.0,31.0,3.0
8639,2.0,68.0,32.0,3.0
8677,81.0,89.0,32.0,1.0
8882,84.0,69.0,33.0,3.0
8896,82.0,80.0,33.0,3.0
9086,74.0,54.0,34.0,3.0
9150,72.0,76.0,34.0,3.0
