node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
1,55.0,1.0,0.0,1.0
6,65.0,3.0,0.0,1.0
14,88.0,4.0,0.0,3.0
22,14.0,6.0,0.0,3.0
43,19.0,8.0,0.0,3.0
66,86.0,13.0,0.0,3.0
75,97.0,14.0,0.0,3.0
77,38.0,15.0,0.0,3.0
78,43.0,15.0,0.0,3.0
79,55.0,15.0,0.0,3.0
105,97.0,19.0,0.0,3.0
110,37.0,20.0,0.0,3.0
147,55.0,29.0,0.0,1.0
148,66.0,29.0,0.0,3.0
182,20.0,37.0,0.0,3.0
209,33.0,41.0,0.0,3.0
215,66.0,41.0,0.0,3.0
224,86.0,44.0,0.0,1.0
245,24.0,50.0,0.0,3.0
246,92.0,50.0,0.0,6.0
256,13.0,52.0,0.0,3.0
260,36.0,53.0,0.0,3.0
274,65.0,56.0,0.0,3.0
296,20.0,59.0,0.0,3.0
300,11.0,60.0,0.0,3.0
326,43.0,66.0,0.0,3.0
331,12.0,67.0,0.0,3.0
356,26.0,71.0,0.0,1.0
364,40.0,72.0,0.0,3.0
369,50.0,72.0,0.0,3.0
378,35.0,75.0,0.0,1.0
422,68.0,85.0,0.0,3.0
450,51.0,93.0,0.0,3.0
473,90.0,97.0,0.0,3.0
475,68.0,98.0,0.0,1.0
509,97.0,9.0,1.0,3.0
557,12.0,20.0,1.0,3.0
576,21.0,24.0,1.0,3.0
617,81.0,31.0,1.0,3.0
659,0.0,42.0,1.0,3.0
683,32.0,48.0,1.0,3.0
691,80.0,49.0,1.0,3.0
692,92.0,49.0,1.0,4.0
745,31.0,58.0,1.0,3.0
755,81.0,60.0,1.0,6.0
779,94.0,66.0,1.0,3.0
820,91.0,78.0,1.0,3.0
849,91.0,85.0,1.0,3.0
855,4.0,88.0,1.0,3.0
867,56.0,90.0,1.0,3.0
878,28.0,93.0,1.0,3.0
940,74.0,12.0,2.0,3.0
1024,47.0,36.0,2.0,3.0
1064,47.0,46.0,2.0,7.0
1079,97.0,48.0,2.0,3.0
1121,47.0,58.0,2.0,3.0
1129,81.0,59.0,2.0,4.0
1133,82.0,60.0,2.0,6.0
1137,49.0,61.0,2.0,3.0
1170,3.0,69.0,2.0,3.0
1173,70.0,69.0,2.0,3.0
1185,62.0,71.0,2.0,4.0
1194,80.0,73.0,2.0,3.0
1223,55.0,82.0,2.0,3.0
1241,79.0,86.0,2.0,3.0
1258,10.0,95.0,2.0,3.0
1291,31.0,5.0,3.0,3.0
1346,56.0,24.0,3.0,8.0
1414,54.0,43.0,3.0,3.0
1454,49.0,51.0,3.0,3.0
1548,20.0,81.0,3.0,5.0
1550,78.0,81.0,3.0,3.0
1585,20.0,92.0,3.0,4.0
1636,40.0,4.0,4.0,3.0
1804,81.0,58.0,4.0,3.0
1863,11.0,79.0,4.0,3.0
1872,19.0,81.0,4.0,8.0
1938,36.0,95.0,4.0,3.0
1956,18.0,98.0,4.0,5.0
1972,35.0,2.0,5.0,1.0
2268,18.0,81.0,5.0,6.0
2276,21.0,82.0,5.0,9.0
2396,69.0,7.0,6.0,3.0
2414,49.0,11.0,6.0,3.0
2501,24.0,35.0,6.0,1.0
2631,11.0,67.0,6.0,3.0
2707,19.0,81.0,6.0,7.0
2750,23.0,91.0,6.0,3.0
2760,15.0,93.0,6.0,3.0
3042,85.0,67.0,7.0,3.0
3045,26.0,68.0,7.0,3.0
3240,15.0,23.0,8.0,3.0
3295,15.0,36.0,8.0,1.0
3333,34.0,47.0,8.0,7.0
3337,33.0,48.0,8.0,8.0
3492,63.0,84.0,8.0,3.0
3548,68.0,2.0,9.0,1.0
3601,57.0,21.0,9.0,7.0
3850,3.0,83.0,9.0,1.0
3958,56.0,21.0,10.0,7.0
4053,34.0,49.0,10.0,8.0
4216,32.0,93.0,10.0,3.0
4313,58.0,19.0,11.0,5.0
4319,59.0,20.0,11.0,6.0
4341,82.0,27.0,11.0,3.0
4766,53.0,43.0,12.0,3.0
4914,54.0,86.0,12.0,3.0
5099,81.0,38.0,13.0,8.0
5241,72.0,81.0,13.0,3.0
5382,61.0,19.0,14.0,3.0
5418,8.0,34.0,14.0,1.0
5511,77.0,53.0,14.0,3.0
5569,73.0,68.0,14.0,3.0
5757,72.0,18.0,15.0,4.0
5898,25.0,58.0,15.0,4.0
5961,90.0,72.0,15.0,4.0
6161,40.0,29.0,16.0,3.0
6285,62.0,62.0,16.0,7.0
6416,49.0,92.0,16.0,3.0
6630,45.0,50.0,17.0,4.0
6702,62.0,65.0,17.0,6.0
6905,14.0,25.0,18.0,3.0
6910,12.0,27.0,18.0,3.0
7158,16.0,4.0,19.0,3.0
7514,40.0,10.0,20.0,3.0
7602,81.0,39.0,20.0,3.0
7753,78.0,85.0,20.0,1.0
7778,34.0,94.0,20.0,3.0
7985,30.0,46.0,21.0,9.0
7993,79.0,48.0,21.0,4.0
8402,30.0,58.0,22.0,3.0
8428,74.0,65.0,22.0,7.0
8798,72.0,65.0,23.0,6.0
8807,75.0,66.0,23.0,6.0
8813,74.0,67.0,23.0,6.0
8835,27.0,72.0,23.0,3.0
8867,14.0,80.0,23.0,3.0
8871,74.0,80.0,23.0,3.0
9078,36.0,42.0,24.0,7.0
9079,37.0,42.0,24.0,7.0
9301,6.0,98.0,24.0,1.0
9367,65.0,20.0,25.0,3.0
9411,46.0,31.0,25.0,7.0
9618,94.0,93.0,25.0,3.0
9649,26.0,3.0,26.0,3.0
9670,64.0,7.0,26.0,3.0
9677,91.0,8.0,26.0,3.0
9738,47.0,30.0,26.0,7.0
9749,48.0,32.0,26.0,7.0
9753,47.0,33.0,26.0,7.0
9786,35.0,41.0,26.0,8.0
9823,4.0,48.0,26.0,4.0
9958,98.0,87.0,26.0,3.0
10004,63.0,2.0,27.0,3.0
10159,36.0,41.0,27.0,6.0
10522,97.0,55.0,28.0,3.0
10707,75.0,4.0,29.0,6.0
10708,78.0,4.0,29.0,6.0
10812,71.0,35.0,29.0,3.0
10850,18.0,50.0,29.0,6.0
