node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
9,48.0,6.0,0.0,3.0
34,90.0,16.0,0.0,3.0
42,41.0,18.0,0.0,3.0
50,5.0,21.0,0.0,1.0
70,0.0,33.0,0.0,1.0
90,64.0,42.0,0.0,3.0
140,67.0,65.0,0.0,1.0
142,34.0,66.0,0.0,1.0
157,72.0,76.0,0.0,3.0
163,80.0,81.0,0.0,1.0
165,51.0,84.0,0.0,1.0
172,62.0,88.0,0.0,3.0
180,2.0,97.0,0.0,1.0
181,49.0,97.0,0.0,1.0
182,39.0,98.0,0.0,1.0
189,98.0,98.0,0.0,1.0
193,2.0,2.0,1.0,1.0
249,86.0,27.0,1.0,3.0
271,10.0,36.0,1.0,3.0
273,56.0,36.0,1.0,3.0
290,42.0,43.0,1.0,1.0
300,14.0,46.0,1.0,3.0
313,81.0,53.0,1.0,3.0
324,1.0,57.0,1.0,1.0
358,45.0,73.0,1.0,1.0
367,98.0,79.0,1.0,1.0
391,69.0,96.0,1.0,3.0
415,33.0,5.0,2.0,1.0
435,33.0,14.0,2.0,3.0
441,57.0,17.0,2.0,3.0
453,67.0,22.0,2.0,3.0
474,22.0,30.0,2.0,4.0
485,44.0,33.0,2.0,3.0
487,71.0,33.0,2.0,3.0
507,93.0,40.0,2.0,3.0
514,73.0,43.0,2.0,3.0
558,57.0,67.0,2.0,3.0
565,94.0,69.0,2.0,3.0
566,0.0,70.0,2.0,1.0
573,20.0,72.0,2.0,3.0
586,2.0,82.0,2.0,1.0
595,40.0,90.0,2.0,1.0
598,10.0,91.0,2.0,3.0
614,88.0,98.0,2.0,3.0
637,17.0,12.0,3.0,3.0
643,6.0,14.0,3.0,3.0
683,37.0,30.0,3.0,3.0
699,77.0,35.0,3.0,3.0
734,51.0,52.0,3.0,3.0
744,8.0,55.0,3.0,3.0
826,81.0,3.0,4.0,1.0
915,1.0,46.0,4.0,1.0
962,12.0,69.0,4.0,3.0
982,33.0,77.0,4.0,1.0
1001,86.0,86.0,4.0,3.0
1041,68.0,2.0,5.0,3.0
1044,86.0,3.0,5.0,7.0
1047,89.0,3.0,5.0,8.0
1048,90.0,3.0,5.0,7.0
1051,86.0,4.0,5.0,8.0
1056,17.0,5.0,5.0,3.0
1107,93.0,22.0,5.0,1.0
1180,39.0,48.0,5.0,3.0
1344,45.0,2.0,6.0,1.0
1362,85.0,4.0,6.0,8.0
1621,88.0,1.0,7.0,8.0
1626,90.0,2.0,7.0,8.0
1640,92.0,4.0,7.0,7.0
1650,90.0,6.0,7.0,7.0
1657,89.0,7.0,7.0,7.0
1661,83.0,9.0,7.0,1.0
1794,29.0,69.0,7.0,3.0
1896,84.0,4.0,8.0,12.0
1903,92.0,5.0,8.0,7.0
