node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
1,0.0,0.0,0.0,1.0
24,8.0,18.0,0.0,3.0
30,94.0,21.0,0.0,1.0
32,16.0,22.0,0.0,1.0
47,98.0,29.0,0.0,1.0
66,98.0,40.0,0.0,1.0
67,49.0,42.0,0.0,1.0
70,71.0,46.0,0.0,3.0
75,48.0,49.0,0.0,1.0
79,96.0,50.0,0.0,1.0
96,20.0,62.0,0.0,3.0
97,47.0,62.0,0.0,1.0
123,80.0,86.0,0.0,3.0
155,18.0,4.0,1.0,3.0
158,95.0,4.0,1.0,1.0
165,33.0,6.0,1.0,3.0
190,34.0,21.0,1.0,3.0
202,80.0,26.0,1.0,3.0
210,69.0,31.0,1.0,3.0
242,16.0,53.0,1.0,3.0
244,85.0,55.0,1.0,3.0
251,55.0,58.0,1.0,1.0
254,68.0,58.0,1.0,3.0
256,9.0,59.0,1.0,3.0
260,98.0,59.0,1.0,1.0
276,53.0,67.0,1.0,1.0
277,82.0,67.0,1.0,3.0
280,7.0,71.0,1.0,3.0
284,40.0,72.0,1.0,1.0
299,79.0,80.0,1.0,3.0
307,7.0,85.0,1.0,4.0
315,33.0,86.0,1.0,3.0
341,14.0,90.0,1.0,3.0
352,44.0,92.0,1.0,4.0
356,60.0,92.0,1.0,3.0
381,3.0,98.0,1.0,1.0
406,59.0,5.0,2.0,3.0
413,80.0,7.0,2.0,3.0
440,2.0,23.0,2.0,3.0
448,55.0,26.0,2.0,3.0
460,41.0,31.0,2.0,3.0
468,6.0,37.0,2.0,3.0
486,7.0,46.0,2.0,3.0
543,76.0,72.0,2.0,3.0
631,44.0,13.0,3.0,3.0
694,30.0,37.0,3.0,3.0
705,21.0,42.0,3.0,3.0
742,30.0,55.0,3.0,3.0
780,68.0,70.0,3.0,3.0
807,57.0,81.0,3.0,3.0
868,75.0,13.0,4.0,1.0
913,14.0,35.0,4.0,3.0
958,39.0,50.0,4.0,3.0
1089,9.0,6.0,5.0,3.0
1112,72.0,12.0,5.0,3.0
1195,58.0,40.0,5.0,3.0
1265,33.0,66.0,5.0,3.0
1381,64.0,18.0,6.0,4.0
1555,99.0,80.0,6.0,1.0
1728,46.0,43.0,7.0,1.0
1813,39.0,74.0,7.0,3.0
2767,76.0,37.0,11.0,7.0
2794,97.0,46.0,11.0,1.0
2819,42.0,59.0,11.0,3.0
3010,77.0,34.0,12.0,7.0
3292,79.0,35.0,13.0,9.0
3655,35.0,77.0,14.0,4.0
3788,76.0,36.0,15.0,8.0
3840,86.0,56.0,15.0,3.0
4241,66.0,6.0,17.0,3.0
4410,34.0,62.0,17.0,3.0
4575,25.0,23.0,18.0,3.0
5026,83.0,85.0,19.0,3.0
5522,64.0,61.0,21.0,3.0
6047,29.0,59.0,23.0,3.0
6496,53.0,24.0,25.0,3.0
7646,92.0,11.0,29.0,3.0
8305,5.0,73.0,31.0,3.0
8324,40.0,79.0,31.0,3.0
8414,22.0,15.0,32.0,1.0
8440,97.0,22.0,32.0,3.0
8528,99.0,53.0,32.0,1.0
8651,0.0,0.0,33.0,1.0
8876,82.0,76.0,33.0,3.0
10167,33.0,36.0,38.0,4.0
10472,89.0,53.0,39.0,3.0
10585,13.0,92.0,39.0,3.0
10630,89.0,12.0,40.0,4.0
11461,67.0,8.0,43.0,3.0
11816,19.0,41.0,44.0,3.0
11880,19.0,66.0,44.0,1.0
12270,34.0,11.0,46.0,3.0
12661,87.0,49.0,47.0,3.0
14285,78.0,95.0,53.0,3.0
14307,99.0,99.0,53.0,1.0
14478,26.0,61.0,54.0,3.0
15098,54.0,89.0,56.0,3.0
15350,22.0,83.0,57.0,3.0
15546,32.0,57.0,58.0,1.0
16670,0.0,31.0,63.0,1.0
16773,63.0,73.0,63.0,1.0
16863,21.0,14.0,64.0,4.0
17812,79.0,10.0,68.0,3.0
17960,63.0,68.0,68.0,3.0
18137,97.0,32.0,69.0,3.0
18484,64.0,79.0,70.0,3.0
19673,85.0,91.0,75.0,3.0
20162,73.0,14.0,78.0,3.0
20948,28.0,63.0,81.0,3.0
21058,35.0,15.0,82.0,3.0
21382,18.0,52.0,83.0,3.0
21643,69.0,78.0,84.0,4.0
22001,19.0,37.0,86.0,3.0
22635,79.0,2.0,89.0,1.0
22855,13.0,99.0,89.0,1.0
23294,2.0,97.0,91.0,1.0
23367,32.0,30.0,92.0,3.0
150,0.0,0.0,1.0,1.0
1141,12.0,20.0,5.0,3.0
1147,92.0,23.0,5.0,3.0
1148,12.0,24.0,5.0,4.0
1172,94.0,29.0,5.0,4.0
1197,94.0,40.0,5.0,3.0
226,75.0,41.0,1.0,3.0
231,68.0,46.0,1.0,3.0
1228,49.0,51.0,5.0,3.0
956,91.0,49.0,4.0,3.0
510,23.0,58.0,2.0,3.0
272,23.0,65.0,1.0,3.0
312,78.0,85.0,1.0,4.0
1050,85.0,92.0,4.0,3.0
587,81.0,94.0,2.0,3.0
168,26.0,7.0,1.0,3.0
2434,18.0,2.0,10.0,3.0
415,15.0,9.0,2.0,3.0
