node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
14,99.0,41.0,0.0,1.0
59,90.0,4.0,1.0,3.0
60,2.0,7.0,1.0,1.0
82,28.0,13.0,1.0,3.0
83,10.0,14.0,1.0,3.0
121,47.0,45.0,1.0,3.0
148,63.0,64.0,1.0,3.0
161,89.0,85.0,1.0,3.0
212,71.0,17.0,2.0,3.0
230,62.0,29.0,2.0,3.0
237,36.0,35.0,2.0,3.0
285,12.0,92.0,2.0,3.0
301,75.0,98.0,2.0,3.0
387,33.0,66.0,3.0,3.0
476,83.0,40.0,4.0,3.0
511,14.0,81.0,4.0,3.0
772,48.0,94.0,7.0,3.0
985,74.0,27.0,10.0,1.0
1052,3.0,88.0,10.0,1.0
1795,24.0,29.0,19.0,3.0
2104,8.0,39.0,22.0,4.0
2547,44.0,26.0,27.0,1.0
3066,20.0,32.0,33.0,3.0
3185,7.0,58.0,34.0,3.0
4081,53.0,39.0,44.0,3.0
4591,30.0,61.0,50.0,3.0
5529,98.0,1.0,61.0,1.0
8110,50.0,6.0,91.0,3.0
9009,98.0,1.0,99.0,1.0
29,98.0,50.0,0.0,1.0
867,81.0,5.0,9.0,3.0
622,90.0,11.0,6.0,3.0
186,37.0,7.0,2.0,3.0
552,28.0,24.0,5.0,3.0
315,2.0,13.0,3.0,3.0
309,17.0,10.0,3.0,3.0
403,97.0,75.0,3.0,3.0
599,78.0,77.0,5.0,3.0
519,91.0,90.0,4.0,3.0
435,45.0,14.0,4.0,3.0
215,72.0,18.0,2.0,3.0
535,65.0,4.0,5.0,3.0
228,84.0,28.0,2.0,3.0
322,71.0,19.0,3.0,3.0
325,91.0,20.0,3.0,3.0
790,69.0,21.0,8.0,3.0
566,58.0,36.0,5.0,3.0
466,25.0,32.0,4.0,4.0
246,40.0,41.0,2.0,3.0
481,41.0,43.0,4.0,3.0
524,2.0,99.0,4.0,1.0
768,64.0,90.0,7.0,4.0
520,90.0,91.0,4.0,3.0
1061,76.0,98.0,10.0,3.0
621,17.0,8.0,6.0,3.0
336,71.0,23.0,3.0,1.0
711,68.0,20.0,7.0,3.0
451,91.0,18.0,4.0,3.0
397,41.0,68.0,3.0,3.0
1129,31.0,61.0,11.0,3.0
587,51.0,58.0,5.0,4.0
926,95.0,66.0,9.0,4.0
445,52.0,15.0,4.0,3.0
550,44.0,19.0,5.0,3.0
624,89.0,12.0,6.0,4.0
555,11.0,27.0,5.0,3.0
577,20.0,48.0,5.0,3.0
567,84.0,36.0,5.0,3.0
658,87.0,63.0,6.0,3.0
583,73.0,50.0,5.0,4.0
1393,41.0,43.0,14.0,4.0
1027,3.0,67.0,10.0,3.0
605,12.0,89.0,5.0,3.0
759,19.0,78.0,7.0,4.0
1335,96.0,85.0,13.0,3.0
860,87.0,93.0,8.0,3.0
1583,69.0,3.0,17.0,3.0
878,56.0,10.0,9.0,3.0
884,42.0,21.0,9.0,4.0
561,28.0,29.0,5.0,3.0
717,10.0,27.0,7.0,3.0
634,29.0,29.0,6.0,4.0
639,57.0,37.0,6.0,3.0
637,84.0,34.0,6.0,4.0
1098,94.0,37.0,11.0,3.0
579,19.0,49.0,5.0,4.0
643,20.0,49.0,6.0,5.0
903,5.0,43.0,9.0,3.0
1007,65.0,45.0,10.0,3.0
1015,52.0,56.0,10.0,3.0
683,11.0,89.0,6.0,4.0
1179,32.0,5.0,12.0,3.0
968,18.0,11.0,10.0,3.0
1069,97.0,6.0,11.0,3.0
785,81.0,11.0,8.0,3.0
885,42.0,22.0,9.0,3.0
1376,30.0,33.0,14.0,3.0
1289,89.0,22.0,13.0,3.0
1373,51.0,31.0,14.0,3.0
1009,64.0,46.0,10.0,4.0
649,23.0,51.0,6.0,3.0
1624,21.0,46.0,17.0,3.0
660,88.0,64.0,6.0,3.0
674,79.0,75.0,6.0,3.0
928,94.0,67.0,9.0,4.0
930,70.0,68.0,9.0,3.0
1338,6.0,88.0,13.0,3.0
1424,13.0,96.0,14.0,3.0
894,7.0,29.0,9.0,3.0
